sequential test: size of graph: 5910; time: 10; ms
sequential test: size of graph: 5920; time: 11; ms
sequential test: size of graph: 5930; time: 11; ms
sequential test: size of graph: 5940; time: 11; ms
sequential test: size of graph: 5950; time: 10; ms
sequential test: size of graph: 5960; time: 10; ms
sequential test: size of graph: 5970; time: 11; ms
sequential test: size of graph: 5980; time: 10; ms
sequential test: size of graph: 5990; time: 11; ms
sequential test: size of graph: 6000; time: 11; ms
sequential test: size of graph: 6010; time: 10; ms
sequential test: size of graph: 6020; time: 11; ms
sequential test: size of graph: 6030; time: 11; ms
sequential test: size of graph: 6040; time: 10; ms
sequential test: size of graph: 6050; time: 11; ms
sequential test: size of graph: 6060; time: 11; ms
sequential test: size of graph: 6070; time: 11; ms
sequential test: size of graph: 6080; time: 11; ms
sequential test: size of graph: 6090; time: 11; ms
sequential test: size of graph: 6100; time: 11; ms
sequential test: size of graph: 6110; time: 11; ms
sequential test: size of graph: 6120; time: 11; ms
sequential test: size of graph: 6130; time: 11; ms
sequential test: size of graph: 6140; time: 11; ms
sequential test: size of graph: 6150; time: 11; ms
sequential test: size of graph: 6160; time: 12; ms
sequential test: size of graph: 6170; time: 11; ms
sequential test: size of graph: 6180; time: 11; ms
sequential test: size of graph: 6190; time: 11; ms
sequential test: size of graph: 6200; time: 12; ms
sequential test: size of graph: 6210; time: 11; ms
sequential test: size of graph: 6220; time: 11; ms
sequential test: size of graph: 6230; time: 12; ms
sequential test: size of graph: 6240; time: 11; ms
sequential test: size of graph: 6250; time: 12; ms
sequential test: size of graph: 6260; time: 12; ms
sequential test: size of graph: 6270; time: 11; ms
sequential test: size of graph: 6280; time: 12; ms
sequential test: size of graph: 6290; time: 12; ms
sequential test: size of graph: 6300; time: 12; ms
sequential test: size of graph: 6310; time: 12; ms
sequential test: size of graph: 6320; time: 11; ms
sequential test: size of graph: 6330; time: 12; ms
sequential test: size of graph: 6340; time: 12; ms
sequential test: size of graph: 6350; time: 13; ms
sequential test: size of graph: 6360; time: 12; ms
sequential test: size of graph: 6370; time: 12; ms
sequential test: size of graph: 6380; time: 13; ms
sequential test: size of graph: 6390; time: 11; ms
sequential test: size of graph: 6400; time: 13; ms
